employee_code,first_name,last_name,username,gender,dob,email,designation,department,location,employment_type,joining_date,shift_applicable,shift_category,manager_username,is_staff,is_superuser,is_pmo,is_manager,keycloak_group
HIT-015,MockUser15,Employee,HIT-015,male,1/1/2000,mockuser15@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-016,MockUser16,Employee,HIT-016,female,1/1/2000,mockuser16@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-017,MockUser17,Employee,HIT-017,male,1/1/2000,mockuser17@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-018,MockUser18,Employee,HIT-018,female,1/1/2000,mockuser18@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-019,MockUser19,Employee,HIT-019,male,1/1/2000,mockuser19@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-020,MockUser20,Employee,HIT-020,female,1/1/2000,mockuser20@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-021,MockUser21,Employee,HIT-021,female,1/1/2000,mockuser21@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-022,MockUser22,Employee,HIT-022,female,1/1/2000,mockuser22@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-023,MockUser23,Employee,HIT-023,male,1/1/2000,mockuser23@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-024,MockUser24,Employee,HIT-024,female,1/1/2000,mockuser24@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-025,MockUser25,Employee,HIT-025,female,1/1/2000,mockuser25@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-026,MockUser26,Employee,HIT-026,male,1/1/2000,mockuser26@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-027,MockUser27,Employee,HIT-027,female,1/1/2000,mockuser27@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-028,MockUser28,Employee,HIT-028,male,1/1/2000,mockuser28@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-029,MockUser29,Employee,HIT-029,male,1/1/2000,mockuser29@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-030,MockUser30,Employee,HIT-030,male,1/1/2000,mockuser30@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-031,MockUser31,Employee,HIT-031,male,1/1/2000,mockuser31@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
HIT-032,MockUser32,Employee,HIT-032,male,1/1/2000,mockuser32@hackersinfotech.com,Intern,Cyber Analyst,Hackers InfoTech - CBE,Internship,5/1/2026,TRUE,Morning Shift (9AM-6PM),HIT-003,FALSE,FALSE,FALSE,FALSE,Employee
